loop_id,label,p2ll
887,5,1.5063785774520462
888,5,1.8342821796136648
889,5,1.3490981241125182
890,2,1.3070876735922061
891,2,1.1397462311309003
892,4,1.4220300271129753
893,1,1.2915018286707292
894,1,1.3479354402556258
895,1,1.3479354402556258
896,1,1.4292129741614983
897,1,
898,1,
899,1,
900,2,
901,2,
902,2,2.083797984364003
903,1,2.0970555119254373
904,1,1.6344486988487719
905,1,
906,1,2.1308157526522646
907,1,2.171734269036633
908,0,1.5626415736717492
909,0,1.9474401364676157
910,1,2.3419929211054558
911,0,2.076285080342234
912,1,1.1410177438388864
913,1,1.2916877932602024
914,1,2.611146025362269
915,1,2.248405216856311
916,1,1.0790942806889883
917,0,1.5057359475593763
918,0,1.7295045843101748
919,0,0.9725521071254559
920,5,1.3304602726537655
921,5,
922,3,
923,3,2.2179272963492727
924,3,
925,3,
926,3,2.1603278264214043
927,3,1.998616490666395
928,3,2.0025433809668773
929,0,1.7519630475793417
930,0,1.6132025350914272
931,0,1.5134828020986737
932,0,1.6323431331028246
933,1,1.5544307530173884
934,1,1.4390603402380504
935,1,1.5020556902984334
936,1,1.7312432853765345
937,0,
938,0,
939,3,1.6696167429953446
940,3,1.6155451662422122
941,3,
942,3,
943,0,
944,1,1.6661280873960918
945,0,1.412300374684539
946,0,1.7347838608147543
947,1,1.4689881447468935
948,1,1.24188184652801
949,0,1.5250246766755045
950,0,1.2302717977329356
951,0,1.5996476278962182
952,0,1.335449403318628
953,3,1.3524134601988933
954,3,1.3494375993732952
955,3,2.695266244539188
